
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          8.42e-10  1.83e+05    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             A        gamma homo.po.period
    0  00:00:00   1.8273e+05      1  EP      6.5165e+00   1.0000e-01     1.8273e+05
  100  00:00:02   1.8273e+05      2          6.3235e+00   1.2921e-01     1.8273e+05
  200  00:00:04   1.8273e+05      3          6.2002e+00   1.5393e-01     1.8273e+05
  300  00:00:06   1.8273e+05      4          6.1181e+00   1.7654e-01     1.8273e+05
  400  00:00:08   1.8273e+05      5          6.0732e+00   1.9549e-01     1.8273e+05
  500  00:00:11   1.8273e+05      6          6.0601e+00   2.0929e-01     1.8273e+05
  501  00:00:11   1.8273e+05      7  MX      6.0601e+00   2.0930e-01     1.8273e+05

 STEP      TIME        ||U||  LABEL  TYPE             A        gamma homo.po.period
    0  00:00:11   1.8273e+05      8  EP      6.5165e+00   1.0000e-01     1.8273e+05
  100  00:00:13   1.8273e+05      9          6.7753e+00   6.4096e-02     1.8273e+05
  200  00:00:16   1.8273e+05     10          6.8000e+00   4.2660e-02     1.8273e+05
  227  00:00:17   1.8273e+05     11  BP      6.8000e+00   3.9086e-02     1.8273e+05
  300  00:00:19   1.8273e+05     12          6.8000e+00   3.1801e-02     1.8273e+05
  400  00:00:21   1.8273e+05     13          6.8001e+00   2.5435e-02     1.8273e+05
  500  00:00:24   1.8273e+05     14          6.8001e+00   2.1235e-02     1.8273e+05
  600  00:00:26   1.8273e+05     15          6.8001e+00   1.8229e-02     1.8273e+05
  700  00:00:29   1.8273e+05     16          6.8002e+00   1.5998e-02     1.8273e+05
  800  00:00:31   1.8273e+05     17          6.8002e+00   1.4265e-02     1.8273e+05
  900  00:00:34   1.8273e+05     18          6.8002e+00   1.2870e-02     1.8273e+05
 1000  00:00:37   1.8273e+05     19          6.8002e+00   1.1731e-02     1.8273e+05
 1100  00:00:40   1.8273e+05     20          6.8002e+00   1.0782e-02     1.8273e+05
 1200  00:00:43   1.8273e+05     21          6.8002e+00   9.9817e-03     1.8273e+05
 1300  00:00:46   1.8273e+05     22          6.8002e+00   9.2929e-03     1.8273e+05
 1400  00:00:49   1.8273e+05     23          6.8002e+00   8.6985e-03     1.8273e+05
 1500  00:00:52   1.8273e+05     24          6.8002e+00   8.1782e-03     1.8273e+05
 1600  00:00:55   1.8273e+05     25          6.8002e+00   7.7183e-03     1.8273e+05
 1700  00:00:57   1.8273e+05     26          6.8002e+00   7.3084e-03     1.8273e+05
 1800  00:01:00   1.8273e+05     27          6.8002e+00   6.9401e-03     1.8273e+05
 1900  00:01:02   1.8273e+05     28          6.8002e+00   6.6070e-03     1.8273e+05
 2000  00:01:04   1.8273e+05     29          6.8002e+00   6.3042e-03     1.8273e+05
 2100  00:01:07   1.8273e+05     30          6.8002e+00   6.0275e-03     1.8273e+05
 2200  00:01:09   1.8273e+05     31          6.8002e+00   5.7737e-03     1.8273e+05
 2300  00:01:11   1.8273e+05     32          6.8002e+00   5.5401e-03     1.8273e+05
 2400  00:01:14   1.8273e+05     33          6.8002e+00   5.3244e-03     1.8273e+05
 2500  00:01:16   1.8273e+05     34          6.8002e+00   5.1256e-03     1.8273e+05
 2600  00:01:18   1.8273e+05     35          6.8002e+00   4.9425e-03     1.8273e+05
 2700  00:01:20   1.8273e+05     36          6.8002e+00   4.7722e-03     1.8273e+05
 2800  00:01:22   1.8273e+05     37          6.8002e+00   4.6132e-03     1.8273e+05
 2900  00:01:24   1.8273e+05     38          6.8001e+00   4.4649e-03     1.8273e+05
 3000  00:01:27   1.8273e+05     39          6.8001e+00   4.3258e-03     1.8273e+05
 3100  00:01:29   1.8274e+05     40          6.8001e+00   4.1969e-03     1.8273e+05
 3200  00:01:31   1.8274e+05     41          6.8001e+00   4.0755e-03     1.8273e+05
 3300  00:01:33   1.8274e+05     42          6.8001e+00   3.9610e-03     1.8273e+05
 3400  00:01:35   1.8274e+05     43          6.8001e+00   3.8527e-03     1.8273e+05
 3500  00:01:37   1.8274e+05     44          6.8001e+00   3.7501e-03     1.8273e+05
 3600  00:01:40   1.8274e+05     45          6.8001e+00   3.6529e-03     1.8273e+05
 3700  00:01:42   1.8274e+05     46          6.8001e+00   3.5606e-03     1.8273e+05
 3800  00:01:44   1.8274e+05     47          6.8001e+00   3.4729e-03     1.8273e+05
 3900  00:01:46   1.8274e+05     48          6.8001e+00   3.3894e-03     1.8273e+05
 4000  00:01:49   1.8274e+05     49          6.8001e+00   3.3099e-03     1.8273e+05
 4100  00:01:51   1.8274e+05     50          6.8001e+00   3.2340e-03     1.8273e+05
 4200  00:01:53   1.8274e+05     51          6.8001e+00   3.1616e-03     1.8273e+05
 4300  00:01:55   1.8274e+05     52          6.8001e+00   3.0924e-03     1.8273e+05
 4400  00:01:58   1.8274e+05     53          6.8001e+00   3.0262e-03     1.8273e+05
 4500  00:02:00   1.8274e+05     54          6.8001e+00   2.9619e-03     1.8273e+05
 4600  00:02:03   1.8274e+05     55          6.8001e+00   2.9012e-03     1.8273e+05
 4700  00:02:05   1.8274e+05     56          6.8001e+00   2.8432e-03     1.8273e+05
 4800  00:02:07   1.8275e+05     57          6.8001e+00   2.7875e-03     1.8273e+05
 4900  00:02:10   1.8275e+05     58          6.8001e+00   2.7339e-03     1.8273e+05
 5000  00:02:12   1.8275e+05     59          6.8001e+00   2.6824e-03     1.8273e+05
